InvoiceDate,ProductID,Description,Brand,Category,SubCategory,UnitPrice,PriceRange,ImageURL,Specifications
2025-09-18 15:26:54,11,ASUS ROG Zephyrus G14,ASUS,Laptops,Laptop,162590.25,Ultra-Premium,https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=400,"{""Display"": ""14\"" 2.5K 165Hz"", ""Processor"": ""AMD Ryzen 9 7940HS"", ""RAM"": ""32GB DDR5"", ""Storage"": ""1TB SSD"", ""Graphics"": ""NVIDIA RTX 4060 8GB"", ""Battery"": ""76Wh, 10 hours"", ""Weight"": ""1.65 kg"", ""OS"": ""Windows 11 Home"", ""Ports"": ""2x USB-C, 2x USB-A, HDMI"", ""Color"": ""Eclipse Gray""}"
2025-08-28 15:26:54,3,Google Pixel 8 Pro,Google,Smartphones,Smartphone,107886.87,Ultra-Premium,https://rukminim2.flixcart.com/image/1920/1920/xif0q/mobile/3/q/3/-original-imahegqhgnafpbzh.jpeg?q=90,"{""Display"": ""6.7\"" LTPO OLED"", ""Processor"": ""Google Tensor G3"", ""RAM"": ""12GB"", ""Storage"": ""128GB"", ""Camera"": ""50MP + 48MP + 48MP"", ""Front Camera"": ""10.5MP"", ""Battery"": ""5050 mAh"", ""OS"": ""Android 14"", ""Color"": ""Obsidian"", ""5G"": ""Yes""}"
2025-09-08 15:26:54,18,Daikin 1.5 Ton 5 Star Inverter,Daikin,Air Conditioners,Air Conditioner,43312.79,Mid-Range,https://images.unsplash.com/photo-1585771724684-38269d6639fd?w=400,"{""Capacity"": ""1.5 Ton (5.2 kW)"", ""Type"": ""Split AC"", ""Energy Rating"": ""5 Star"", ""Technology"": ""Inverter"", ""Cooling Area"": ""Up to 180 sq ft"", ""Refrigerant"": ""R32"", ""Filters"": ""PM 2.5 Filter"", ""Copper Coil"": ""Yes"", ""Smart Features"": ""Wi-Fi, Alexa"", ""Dimensions"": ""87 x 30 x 24 cm"", ""Weight"": ""11 kg""}"
2025-11-06 15:26:54,1,Apple iPhone 15 Pro Max,Apple,Smartphones,Smartphone,153708.54,Ultra-Premium,https://images.unsplash.com/photo-1696446702183-cbd0c7a8b6f2?w=400,"{""Display"": ""6.7\"" Super Retina XDR OLED"", ""Processor"": ""A17 Pro Bionic"", ""RAM"": ""8GB"", ""Storage"": ""256GB"", ""Camera"": ""48MP + 12MP + 12MP"", ""Front Camera"": ""12MP TrueDepth"", ""Battery"": ""4422 mAh"", ""OS"": ""iOS 17"", ""Color"": ""Natural Titanium"", ""5G"": ""Yes""}"
2025-11-03 15:26:54,8,Dell XPS 15 9530,Dell,Laptops,Laptop,142839.64,Ultra-Premium,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400,"{""Display"": ""15.6\"" 4K OLED Touch"", ""Processor"": ""Intel Core i7-13700H"", ""RAM"": ""16GB DDR5"", ""Storage"": ""512GB NVMe SSD"", ""Graphics"": ""NVIDIA RTX 4050 6GB"", ""Battery"": ""86Wh, 12 hours"", ""Weight"": ""1.86 kg"", ""OS"": ""Windows 11 Pro"", ""Ports"": ""2x Thunderbolt 4, USB-C, SD card"", ""Color"": ""Platinum Silver""}"
2025-10-31 15:26:54,5,Xiaomi 14 Pro,Xiaomi,Smartphones,Smartphone,78029.11,Premium,https://images.unsplash.com/photo-1592286927505-676a04679df5?w=400,"{""Display"": ""6.73\"" AMOLED"", ""Processor"": ""Snapdragon 8 Gen 3"", ""RAM"": ""12GB"", ""Storage"": ""256GB"", ""Camera"": ""50MP + 50MP + 50MP"", ""Front Camera"": ""32MP"", ""Battery"": ""4880 mAh"", ""OS"": ""Android 14"", ""Color"": ""Titanium"", ""5G"": ""Yes""}"
2025-12-28 15:26:54,14,"Sony 55"" Bravia XR A80L OLED",Sony,Televisions,Television,147113.22,Ultra-Premium,https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=400,"{""Screen Size"": ""55 inches"", ""Resolution"": ""4K UHD (3840x2160)"", ""Display Type"": ""OLED"", ""Refresh Rate"": ""120Hz"", ""HDR"": ""Dolby Vision, HDR10, HLG"", ""Smart TV"": ""Google TV"", ""Ports"": ""4x HDMI 2.1, 2x USB"", ""Audio"": ""50W Acoustic Surface Audio+"", ""Dimensions"": ""122.6 x 71.0 x 5.3 cm"", ""Weight"": ""18.5 kg""}"
2025-11-08 15:26:54,20,LG 7 Kg Front Load,LG,Washing Machines,Washing Machine,35074.2,Mid-Range,https://images.unsplash.com/photo-1626806787461-102c1bfaaea1?w=400,"{""Capacity"": ""7 Kg"", ""Type"": ""Front Load"", ""Energy Rating"": ""5 Star"", ""Motor"": ""Direct Drive"", ""Wash Programs"": ""14"", ""Spin Speed"": ""1400 RPM"", ""Display"": ""LED"", ""Smart Features"": ""Wi-Fi, ThinQ App"", ""Dimensions"": ""60 x 56 x 85 cm"", ""Weight"": ""62 kg"", ""Color"": ""Middle Black""}"
2025-10-24 15:26:54,8,Dell XPS 15 9530,Dell,Laptops,Laptop,144325.53,Ultra-Premium,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400,"{""Display"": ""15.6\"" 4K OLED Touch"", ""Processor"": ""Intel Core i7-13700H"", ""RAM"": ""16GB DDR5"", ""Storage"": ""512GB NVMe SSD"", ""Graphics"": ""NVIDIA RTX 4050 6GB"", ""Battery"": ""86Wh, 12 hours"", ""Weight"": ""1.86 kg"", ""OS"": ""Windows 11 Pro"", ""Ports"": ""2x Thunderbolt 4, USB-C, SD card"", ""Color"": ""Platinum Silver""}"
2025-12-28 15:26:54,1,Apple iPhone 15 Pro Max,Apple,Smartphones,Smartphone,144233.49,Ultra-Premium,https://images.unsplash.com/photo-1696446702183-cbd0c7a8b6f2?w=400,"{""Display"": ""6.7\"" Super Retina XDR OLED"", ""Processor"": ""A17 Pro Bionic"", ""RAM"": ""8GB"", ""Storage"": ""256GB"", ""Camera"": ""48MP + 12MP + 12MP"", ""Front Camera"": ""12MP TrueDepth"", ""Battery"": ""4422 mAh"", ""OS"": ""iOS 17"", ""Color"": ""Natural Titanium"", ""5G"": ""Yes""}"
2026-01-20 15:26:54,5,Xiaomi 14 Pro,Xiaomi,Smartphones,Smartphone,80992.89,Premium,https://images.unsplash.com/photo-1592286927505-676a04679df5?w=400,"{""Display"": ""6.73\"" AMOLED"", ""Processor"": ""Snapdragon 8 Gen 3"", ""RAM"": ""12GB"", ""Storage"": ""256GB"", ""Camera"": ""50MP + 50MP + 50MP"", ""Front Camera"": ""32MP"", ""Battery"": ""4880 mAh"", ""OS"": ""Android 14"", ""Color"": ""Titanium"", ""5G"": ""Yes""}"
2025-11-13 15:26:54,8,Dell XPS 15 9530,Dell,Laptops,Laptop,153321.88,Ultra-Premium,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400,"{""Display"": ""15.6\"" 4K OLED Touch"", ""Processor"": ""Intel Core i7-13700H"", ""RAM"": ""16GB DDR5"", ""Storage"": ""512GB NVMe SSD"", ""Graphics"": ""NVIDIA RTX 4050 6GB"", ""Battery"": ""86Wh, 12 hours"", ""Weight"": ""1.86 kg"", ""OS"": ""Windows 11 Pro"", ""Ports"": ""2x Thunderbolt 4, USB-C, SD card"", ""Color"": ""Platinum Silver""}"
2025-09-15 15:26:54,17,Whirlpool 265L Frost Free,Whirlpool,Refrigerators,Refrigerator,33114.24,Mid-Range,https://images.unsplash.com/photo-1571175443880-49e1d25b2bc5?w=400,"{""Capacity"": ""265 Liters"", ""Type"": ""Double Door"", ""Energy Rating"": ""3 Star"", ""Cooling Technology"": ""6th Sense IntelliFresh"", ""Inverter"": ""Intellisense Inverter"", ""Ice Maker"": ""Manual"", ""Water Dispenser"": ""No"", ""Shelves"": ""Toughened Glass"", ""Dimensions"": ""61 x 64 x 166 cm"", ""Weight"": ""68 kg"", ""Color"": ""Alpha Steel""}"
2025-12-28 15:26:54,8,Dell XPS 15 9530,Dell,Laptops,Laptop,164007.52,Ultra-Premium,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400,"{""Display"": ""15.6\"" 4K OLED Touch"", ""Processor"": ""Intel Core i7-13700H"", ""RAM"": ""16GB DDR5"", ""Storage"": ""512GB NVMe SSD"", ""Graphics"": ""NVIDIA RTX 4050 6GB"", ""Battery"": ""86Wh, 12 hours"", ""Weight"": ""1.86 kg"", ""OS"": ""Windows 11 Pro"", ""Ports"": ""2x Thunderbolt 4, USB-C, SD card"", ""Color"": ""Platinum Silver""}"
2025-08-26 15:26:54,1,Apple iPhone 15 Pro Max,Apple,Smartphones,Smartphone,158140.16,Ultra-Premium,https://images.unsplash.com/photo-1696446702183-cbd0c7a8b6f2?w=400,"{""Display"": ""6.7\"" Super Retina XDR OLED"", ""Processor"": ""A17 Pro Bionic"", ""RAM"": ""8GB"", ""Storage"": ""256GB"", ""Camera"": ""48MP + 12MP + 12MP"", ""Front Camera"": ""12MP TrueDepth"", ""Battery"": ""4422 mAh"", ""OS"": ""iOS 17"", ""Color"": ""Natural Titanium"", ""5G"": ""Yes""}"
2026-01-26 15:26:54,15,Samsung 594L Side-by-Side,Samsung,Refrigerators,Refrigerator,90950.4,Premium,https://images.unsplash.com/photo-1571175443880-49e1d25b2bc5?w=400,"{""Capacity"": ""594 Liters"", ""Type"": ""Side-by-Side"", ""Energy Rating"": ""3 Star"", ""Cooling Technology"": ""Twin Cooling Plus"", ""Inverter"": ""Digital Inverter"", ""Ice Maker"": ""Yes"", ""Water Dispenser"": ""Yes"", ""Shelves"": ""Tempered Glass"", ""Dimensions"": ""91.2 x 71.6 x 178.9 cm"", ""Weight"": ""110 kg"", ""Color"": ""Refined Inox""}"
2026-01-05 15:26:54,14,"Sony 55"" Bravia XR A80L OLED",Sony,Televisions,Television,137143.64,Ultra-Premium,https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=400,"{""Screen Size"": ""55 inches"", ""Resolution"": ""4K UHD (3840x2160)"", ""Display Type"": ""OLED"", ""Refresh Rate"": ""120Hz"", ""HDR"": ""Dolby Vision, HDR10, HLG"", ""Smart TV"": ""Google TV"", ""Ports"": ""4x HDMI 2.1, 2x USB"", ""Audio"": ""50W Acoustic Surface Audio+"", ""Dimensions"": ""122.6 x 71.0 x 5.3 cm"", ""Weight"": ""18.5 kg""}"
2026-02-06 15:26:54,18,Daikin 1.5 Ton 5 Star Inverter,Daikin,Air Conditioners,Air Conditioner,37735.14,Mid-Range,https://images.unsplash.com/photo-1585771724684-38269d6639fd?w=400,"{""Capacity"": ""1.5 Ton (5.2 kW)"", ""Type"": ""Split AC"", ""Energy Rating"": ""5 Star"", ""Technology"": ""Inverter"", ""Cooling Area"": ""Up to 180 sq ft"", ""Refrigerant"": ""R32"", ""Filters"": ""PM 2.5 Filter"", ""Copper Coil"": ""Yes"", ""Smart Features"": ""Wi-Fi, Alexa"", ""Dimensions"": ""87 x 30 x 24 cm"", ""Weight"": ""11 kg""}"
2025-09-15 15:26:54,8,Dell XPS 15 9530,Dell,Laptops,Laptop,179699.56,Ultra-Premium,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400,"{""Display"": ""15.6\"" 4K OLED Touch"", ""Processor"": ""Intel Core i7-13700H"", ""RAM"": ""16GB DDR5"", ""Storage"": ""512GB NVMe SSD"", ""Graphics"": ""NVIDIA RTX 4050 6GB"", ""Battery"": ""86Wh, 12 hours"", ""Weight"": ""1.86 kg"", ""OS"": ""Windows 11 Pro"", ""Ports"": ""2x Thunderbolt 4, USB-C, SD card"", ""Color"": ""Platinum Silver""}"
2025-09-04 15:26:54,13,"LG 65"" OLED evo C3",LG,Televisions,Television,182809.35,Ultra-Premium,https://images.unsplash.com/photo-1593784991095-a205069470b6?w=400,"{""Screen Size"": ""65 inches"", ""Resolution"": ""4K UHD (3840x2160)"", ""Display Type"": ""OLED evo"", ""Refresh Rate"": ""120Hz"", ""HDR"": ""Dolby Vision IQ, HDR10, HLG"", ""Smart TV"": ""webOS 23"", ""Ports"": ""4x HDMI 2.1, 3x USB"", ""Audio"": ""40W Dolby Atmos"", ""Dimensions"": ""144.2 x 82.8 x 4.6 cm"", ""Weight"": ""22.3 kg""}"
2025-11-01 15:26:54,16,LG 687L InstaView Door-in-Door,LG,Refrigerators,Refrigerator,108493.98,Ultra-Premium,https://images.unsplash.com/photo-1584568694244-14fbdf83bd30?w=400,"{""Capacity"": ""687 Liters"", ""Type"": ""Side-by-Side"", ""Energy Rating"": ""4 Star"", ""Cooling Technology"": ""Linear Cooling"", ""Inverter"": ""Smart Inverter"", ""Ice Maker"": ""Yes (Ice & Water)"", ""Water Dispenser"": ""Yes"", ""Shelves"": ""SpillProtector Glass"", ""Dimensions"": ""91.2 x 73.8 x 179 cm"", ""Weight"": ""135 kg"", ""Color"": ""Noble Steel""}"
2025-11-19 15:26:54,21,Bosch 8 Kg Fully Automatic,Bosch,Washing Machines,Washing Machine,40485.16,Mid-Range,https://images.unsplash.com/photo-1604335399105-a0c585fd81a1?w=400,"{""Capacity"": ""8 Kg"", ""Type"": ""Front Load"", ""Energy Rating"": ""5 Star"", ""Motor"": ""EcoSilence Drive"", ""Wash Programs"": ""15"", ""Spin Speed"": ""1400 RPM"", ""Display"": ""LED"", ""Smart Features"": ""ActiveWater Plus"", ""Dimensions"": ""60 x 59 x 85 cm"", ""Weight"": ""69 kg"", ""Color"": ""Silver""}"
2025-12-17 15:26:54,13,"LG 65"" OLED evo C3",LG,Televisions,Television,154404.51,Ultra-Premium,https://images.unsplash.com/photo-1593784991095-a205069470b6?w=400,"{""Screen Size"": ""65 inches"", ""Resolution"": ""4K UHD (3840x2160)"", ""Display Type"": ""OLED evo"", ""Refresh Rate"": ""120Hz"", ""HDR"": ""Dolby Vision IQ, HDR10, HLG"", ""Smart TV"": ""webOS 23"", ""Ports"": ""4x HDMI 2.1, 3x USB"", ""Audio"": ""40W Dolby Atmos"", ""Dimensions"": ""144.2 x 82.8 x 4.6 cm"", ""Weight"": ""22.3 kg""}"
2025-10-22 15:26:54,4,OnePlus 12,OnePlus,Smartphones,Smartphone,58229.89,Premium,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400,"{""Display"": ""6.82\"" AMOLED"", ""Processor"": ""Snapdragon 8 Gen 3"", ""RAM"": ""16GB"", ""Storage"": ""256GB"", ""Camera"": ""50MP + 64MP + 48MP"", ""Front Camera"": ""32MP"", ""Battery"": ""5400 mAh"", ""OS"": ""Android 14"", ""Color"": ""Flowy Emerald"", ""5G"": ""Yes""}"
2025-11-03 15:26:54,15,Samsung 594L Side-by-Side,Samsung,Refrigerators,Refrigerator,87306.31,Premium,https://images.unsplash.com/photo-1571175443880-49e1d25b2bc5?w=400,"{""Capacity"": ""594 Liters"", ""Type"": ""Side-by-Side"", ""Energy Rating"": ""3 Star"", ""Cooling Technology"": ""Twin Cooling Plus"", ""Inverter"": ""Digital Inverter"", ""Ice Maker"": ""Yes"", ""Water Dispenser"": ""Yes"", ""Shelves"": ""Tempered Glass"", ""Dimensions"": ""91.2 x 71.6 x 178.9 cm"", ""Weight"": ""110 kg"", ""Color"": ""Refined Inox""}"
2026-02-08 15:26:54,12,"Samsung 55"" Neo QLED 4K QN90C",Samsung,Televisions,Television,122103.68,Ultra-Premium,https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=400,"{""Screen Size"": ""55 inches"", ""Resolution"": ""4K UHD (3840x2160)"", ""Display Type"": ""Neo QLED"", ""Refresh Rate"": ""120Hz"", ""HDR"": ""HDR10+, HLG"", ""Smart TV"": ""Tizen OS"", ""Ports"": ""4x HDMI 2.1, 2x USB"", ""Audio"": ""60W Dolby Atmos"", ""Dimensions"": ""122.8 x 70.5 x 2.6 cm"", ""Weight"": ""17.8 kg""}"
2025-10-04 15:26:54,3,Google Pixel 8 Pro,Google,Smartphones,Smartphone,104185.44,Ultra-Premium,https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=400,"{""Display"": ""6.7\"" LTPO OLED"", ""Processor"": ""Google Tensor G3"", ""RAM"": ""12GB"", ""Storage"": ""128GB"", ""Camera"": ""50MP + 48MP + 48MP"", ""Front Camera"": ""10.5MP"", ""Battery"": ""5050 mAh"", ""OS"": ""Android 14"", ""Color"": ""Obsidian"", ""5G"": ""Yes""}"
2025-10-19 15:26:54,14,"Sony 55"" Bravia XR A80L OLED",Sony,Televisions,Television,124932.4,Ultra-Premium,https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=400,"{""Screen Size"": ""55 inches"", ""Resolution"": ""4K UHD (3840x2160)"", ""Display Type"": ""OLED"", ""Refresh Rate"": ""120Hz"", ""HDR"": ""Dolby Vision, HDR10, HLG"", ""Smart TV"": ""Google TV"", ""Ports"": ""4x HDMI 2.1, 2x USB"", ""Audio"": ""50W Acoustic Surface Audio+"", ""Dimensions"": ""122.6 x 71.0 x 5.3 cm"", ""Weight"": ""18.5 kg""}"
2025-12-25 15:26:54,21,Bosch 8 Kg Fully Automatic,Bosch,Washing Machines,Washing Machine,37683.06,Mid-Range,https://images.unsplash.com/photo-1604335399105-a0c585fd81a1?w=400,"{""Capacity"": ""8 Kg"", ""Type"": ""Front Load"", ""Energy Rating"": ""5 Star"", ""Motor"": ""EcoSilence Drive"", ""Wash Programs"": ""15"", ""Spin Speed"": ""1400 RPM"", ""Display"": ""LED"", ""Smart Features"": ""ActiveWater Plus"", ""Dimensions"": ""60 x 59 x 85 cm"", ""Weight"": ""69 kg"", ""Color"": ""Silver""}"
2026-01-01 15:26:54,9,Lenovo ThinkPad X1 Carbon Gen 11,Lenovo,Laptops,Laptop,125531.93,Ultra-Premium,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=400,"{""Display"": ""14\"" 2.8K OLED"", ""Processor"": ""Intel Core i7-1355U"", ""RAM"": ""16GB LPDDR5"", ""Storage"": ""512GB SSD"", ""Graphics"": ""Intel Iris Xe"", ""Battery"": ""57Wh, 16 hours"", ""Weight"": ""1.12 kg"", ""OS"": ""Windows 11 Pro"", ""Ports"": ""2x Thunderbolt 4, 2x USB-A, HDMI"", ""Color"": ""Black""}"
2025-12-15 15:26:54,2,Samsung Galaxy S24 Ultra,Samsung,Smartphones,Smartphone,132742.76,Ultra-Premium,https://images.unsplash.com/photo-1610945415295-d9bbf067e59c?w=400,"{""Display"": ""6.8\"" Dynamic AMOLED 2X"", ""Processor"": ""Snapdragon 8 Gen 3"", ""RAM"": ""12GB"", ""Storage"": ""256GB"", ""Camera"": ""200MP + 50MP + 12MP + 10MP"", ""Front Camera"": ""12MP"", ""Battery"": ""5000 mAh"", ""OS"": ""Android 14"", ""Color"": ""Titanium Gray"", ""5G"": ""Yes""}"
2025-12-17 15:26:54,6,Vivo X100 Pro,Vivo,Smartphones,Smartphone,78988.45,Premium,https://images.unsplash.com/photo-1585060544812-6b45742d762f?w=400,"{""Display"": ""6.78\"" AMOLED"", ""Processor"": ""MediaTek Dimensity 9300"", ""RAM"": ""16GB"", ""Storage"": ""512GB"", ""Camera"": ""50MP + 50MP + 50MP"", ""Front Camera"": ""32MP"", ""Battery"": ""5400 mAh"", ""OS"": ""Android 14"", ""Color"": ""Asteroid Black"", ""5G"": ""Yes""}"
